epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2381.91,0.86151,0.57719,0.93705,0.95367,0.88211,0.94422,0.74644,0.74285,0.46097,0.84483,0.0091189,0.0091189,0.0091189
91,2409.07,0.85161,0.55798,0.92932,0.90544,0.90714,0.95917,0.76085,0.7467,0.46265,0.84329,0.009109,0.009109,0.009109
92,2435.62,0.84763,0.55247,0.9283,0.89445,0.90794,0.95435,0.75621,0.728,0.45807,0.8555,0.0090991,0.0090991,0.0090991
93,2462.78,0.8248,0.55088,0.93504,0.92448,0.87441,0.94433,0.7478,0.73061,0.48161,0.84572,0.0090892,0.0090892,0.0090892
94,2489.79,0.83369,0.55805,0.92692,0.94783,0.87143,0.95602,0.76026,0.7328,0.47423,0.85217,0.0090793,0.0090793,0.0090793
95,2516.45,0.84174,0.55908,0.92501,0.90773,0.92857,0.96672,0.76389,0.75265,0.46913,0.859,0.0090694,0.0090694,0.0090694
96,2543.11,0.83362,0.54736,0.92079,0.9045,0.90714,0.95654,0.7572,0.74722,0.47861,0.85476,0.0090595,0.0090595,0.0090595
97,2569.59,0.81106,0.53552,0.90887,0.8968,0.93112,0.95632,0.76409,0.73385,0.47354,0.85342,0.0090496,0.0090496,0.0090496
98,2595.84,0.82212,0.53902,0.91819,0.89979,0.90714,0.9602,0.75605,0.72962,0.46715,0.84866,0.0090397,0.0090397,0.0090397
99,2622.34,0.82086,0.55745,0.91788,0.92033,0.93571,0.96937,0.7638,0.74367,0.44964,0.85583,0.0090298,0.0090298,0.0090298
100,2648.74,0.81931,0.54393,0.92865,0.92231,0.93281,0.96154,0.76694,0.70724,0.44661,0.85548,0.0090199,0.0090199,0.0090199
101,2675.37,0.8295,0.54435,0.92713,0.93532,0.92143,0.96545,0.7712,0.72741,0.45643,0.86065,0.00901,0.00901,0.00901
102,2702.23,0.83208,0.55663,0.92698,0.90458,0.94804,0.96872,0.76157,0.7278,0.45336,0.85063,0.0090001,0.0090001,0.0090001
103,2728.79,0.83334,0.55255,0.92654,0.96132,0.92857,0.97783,0.77184,0.73592,0.4442,0.85557,0.0089902,0.0089902,0.0089902
104,2755.19,0.83107,0.54409,0.91968,0.92002,0.90714,0.96182,0.75572,0.74836,0.47379,0.86421,0.0089803,0.0089803,0.0089803
105,2781.88,0.80024,0.53096,0.91195,0.89766,0.91429,0.9587,0.75812,0.74146,0.45872,0.86281,0.0089704,0.0089704,0.0089704
106,2809.06,0.80054,0.52895,0.9178,0.88918,0.93571,0.96042,0.76761,0.72147,0.4448,0.85526,0.0089605,0.0089605,0.0089605
107,2836.24,0.83131,0.54184,0.91041,0.92711,0.92857,0.96518,0.76499,0.72089,0.44357,0.85393,0.0089506,0.0089506,0.0089506
108,2863.29,0.84382,0.56529,0.91211,0.90349,0.93613,0.965,0.76074,0.7523,0.45893,0.84834,0.0089407,0.0089407,0.0089407
109,2889.98,0.79604,0.52963,0.90434,0.91115,0.94286,0.97011,0.7707,0.73452,0.44761,0.84323,0.0089308,0.0089308,0.0089308
