                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.78718,                0.50326,                0.93545,                0.92827,                0.90805,                0.95533,                0.72668,                0.70907,                0.45595,                0.86951,              0.0094951,              0.0094951,              0.0094951
                     53,                0.79309,                0.50717,                0.94294,                0.91908,                0.91384,                0.95232,                0.74952,                0.72714,                0.47601,                 0.8746,              0.0094852,              0.0094852,              0.0094852
                     54,                0.79031,                0.51348,                0.95444,                0.95199,                0.91179,                0.95624,                0.72723,                0.79005,                0.47935,                0.89106,              0.0094753,              0.0094753,              0.0094753
                     55,                0.77947,                0.50227,                0.94003,                0.95192,                0.91039,                0.96153,                0.73334,                0.73462,                0.49888,                 0.8807,              0.0094654,              0.0094654,              0.0094654
                     56,                0.74271,                0.48705,                0.93273,                0.94499,                0.89655,                0.95221,                0.75529,                 0.6954,                0.45363,                0.87964,              0.0094555,              0.0094555,              0.0094555
                     57,                 0.7763,                 0.4925,                0.94104,                0.93829,                0.93103,                 0.9648,                0.75624,                0.75942,                0.46209,                0.88479,              0.0094456,              0.0094456,              0.0094456
                     58,                0.76257,                0.48896,                0.93595,                0.97488,                0.89209,                0.96156,                0.72858,                0.76473,                0.49589,                0.86951,              0.0094357,              0.0094357,              0.0094357
                     59,                 0.7499,                0.47766,                0.93488,                0.96239,                 0.8824,                0.95136,                 0.7637,                0.73364,                0.46473,                0.87456,              0.0094258,              0.0094258,              0.0094258
                     60,                0.76519,                0.48642,                0.92344,                0.98764,                0.91818,                0.96728,                0.73474,                0.75248,                0.43452,                0.87681,              0.0094159,              0.0094159,              0.0094159
                     61,                0.73778,                 0.4713,                0.91761,                0.94976,                0.86929,                0.93968,                0.72904,                0.77521,                0.48228,                0.89071,               0.009406,               0.009406,               0.009406
                     62,                0.73856,                0.47543,                0.92297,                0.96978,                0.88506,                0.96262,                0.76567,                0.71327,                0.42091,                0.86868,              0.0093961,              0.0093961,              0.0093961
                     63,                0.76987,                0.49822,                0.94789,                0.95972,                0.91954,                0.96805,                0.76607,                0.75787,                0.43763,                0.88831,              0.0093862,              0.0093862,              0.0093862
