epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,782.365,0.96104,0.58332,0.9622,0.89774,0.76667,0.85283,0.59749,0.9229,0.61778,0.95703,0.0094654,0.0094654,0.0094654
56,796.686,0.95589,0.57978,0.99482,0.77901,0.8,0.84245,0.57478,0.86987,0.64176,0.98232,0.0094555,0.0094555,0.0094555
57,810.929,0.94882,0.57046,0.96675,0.82623,0.81667,0.84119,0.58297,0.86978,0.62398,0.95365,0.0094456,0.0094456,0.0094456
58,825.051,0.99861,0.60608,0.96107,0.87665,0.82918,0.85887,0.61643,0.83157,0.58409,0.92032,0.0094357,0.0094357,0.0094357
59,839.235,0.91694,0.57235,0.9734,0.86215,0.83394,0.87482,0.63209,0.82992,0.5462,0.94364,0.0094258,0.0094258,0.0094258
60,853.496,0.98612,0.57535,0.95883,0.8599,0.85,0.87444,0.59033,0.87988,0.56902,0.97048,0.0094159,0.0094159,0.0094159
61,867.595,0.96422,0.56056,0.97865,0.85182,0.81667,0.86689,0.60702,0.89422,0.6416,0.97641,0.009406,0.009406,0.009406
62,881.725,0.95017,0.56957,0.96287,0.89048,0.81313,0.83664,0.60944,0.89526,0.67732,0.98377,0.0093961,0.0093961,0.0093961
63,895.884,0.96152,0.57607,0.9564,0.89443,0.78333,0.8501,0.60786,0.90343,0.6184,0.99118,0.0093862,0.0093862,0.0093862
64,910.051,0.93033,0.56288,0.96536,0.92145,0.78213,0.85237,0.6124,0.8716,0.62554,0.96997,0.0093763,0.0093763,0.0093763
65,924.114,0.92617,0.57203,0.96947,0.89449,0.86667,0.90612,0.64393,0.86317,0.57299,0.99848,0.0093664,0.0093664,0.0093664
66,938.336,0.89287,0.52586,0.96505,0.78889,0.8097,0.83654,0.56451,0.93014,0.62324,1.06295,0.0093565,0.0093565,0.0093565
67,952.505,0.92765,0.5243,0.95234,0.88365,0.75955,0.88777,0.63552,0.88988,0.62582,1.01461,0.0093466,0.0093466,0.0093466
68,966.655,0.89709,0.56706,0.94027,0.90258,0.83333,0.86409,0.60549,0.88472,0.62739,0.9755,0.0093367,0.0093367,0.0093367
69,980.838,1.02794,0.6128,0.98559,0.91132,0.76667,0.86156,0.60532,0.87002,0.66775,1.00374,0.0093268,0.0093268,0.0093268
70,994.987,0.89515,0.55688,0.96343,0.90294,0.8,0.89063,0.56962,0.99515,0.68731,1.0452,0.0093169,0.0093169,0.0093169
71,1009.12,0.9511,0.60851,0.9725,0.85963,0.81653,0.85762,0.59489,0.90336,0.62298,1.05792,0.009307,0.009307,0.009307
72,1023.25,0.92189,0.56735,0.96728,0.90451,0.78943,0.87535,0.63078,0.83385,0.59014,0.94334,0.0092971,0.0092971,0.0092971
73,1037.43,0.89332,0.51858,0.96501,0.83728,0.86667,0.87419,0.59609,0.87592,0.61357,1.00749,0.0092872,0.0092872,0.0092872
